BuyerAgentAOR,ListAgentAOR,Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,MlsStatus,ElementarySchool,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,OriginatingSystemName,OriginatingSystemSubName
Inglewood,Inglewood,,False,,,False,2150.0,1156495304,2026-03-23,2150.0,EUGENE,CAMERON,33.909281,-118.202308,1822 E Stockton Street,ResidentialLease,795.0,2150.0,0,Amberwood Real Estate,Amberwood Real Estate,,EUGENE CAMERON,,,ncameeug,EUGENE,CAMERON,,,,1156495304,"RN - Compton N of Rosecrans, E of Central",,Los Angeles,Closed,,False,3.0,,SingleFamilyResidence,0.1362,,Inglewood,2023,1822,IN26070140,2,Compton,,,2,2026-03-23,,,2026-03-23,2026-03-10,,,CA,,,False,1,,One,,5934.0,1,False,1.0,Compton Unified,90221,0.0,5934.0,,CRMLS,CRMLS_CRM
Inglewood,Inglewood,,False,,,False,3350.0,1156493470,2026-03-23,3350.0,EUGENE,CAMERON,33.909395,-118.202292,1820 E Stockton Street,ResidentialLease,993.0,3350.0,0,Amberwood Real Estate,Amberwood Real Estate,,EUGENE CAMERON,,,ncameeug,EUGENE,CAMERON,,,,1156493470,"RN - Compton N of Rosecrans, E of Central",,Los Angeles,Closed,,,2.0,,SingleFamilyResidence,0.1362,,Inglewood,1947,1820,IN26070113,1,Compton,,,3,2026-03-23,,,2026-03-23,2026-03-10,,,CA,,,False,1,,One,,5934.0,1,False,0.0,Compton Unified,90221,0.0,5934.0,,CRMLS,CRMLS_CRM
Newport,Newport,Concrete,True,,,False,999000.0,1156473404,2026-03-31,1000000.0,Cathy,Christina,33.607949,-117.668578,26442 Papagayo,Residential,1655.0,999000.0,0,First Team Real Estate,First Team Real Estate,,Cathy Christina,,,U10150,Cathy,Christina,,,,1156473404,MC - Mission Viejo Central,,Orange,Closed,,True,2.0,,SingleFamilyResidence,0.2009,El Dorado (ED),Newport,1972,26442,NP26069822,2,Mission Viejo,,,3,2026-03-31,,,2026-03-31,2024-04-01,,,CA,,,True,1,Mission Viejo,One,,8750.0,3,False,2.0,Saddleback Valley Unified,92691,0.0,8750.0,,CRMLS,CRMLS_CRM
Mlslistings,Mlslistings,,False,,,,,1156465684,2026-03-27,2760000.0,,The Dwyer Group,37.55592057,-122.32588912,800 Edinburgh Street,Residential,1725.0,2760000.0,0,Compass,U16818 Financial Services,, The Dwyer Group,,,ML5100689,George,Chang,,,,1156465684,699 - Not Defined,,San Mateo,Closed,,True,1.0,,SingleFamilyResidence,0.1343,,Mlslistings,1938,800,ML82041111,2,San Mateo,,,3,2026-03-27,,,2026-03-27,2026-03-27,,,CA,,,True,,,,,5852.0,,False,1.0,Other,94402,,5852.0,,CRMLS,CRMLS_MLSL
Mlslistings,Mlslistings,,False,,,,,1156465630,2026-03-30,735000.0,,The Madani Team,37.12727814,-122.12860417,140 Blackstone Drive,Residential,1662.0,735000.0,0,Room Real Estate,Room Real Estate,, The Madani Team,,,ML5082862,Tim,Huxley,,,,1156465630,699 - Not Defined,,Santa Cruz,Closed,,True,4.0,,SingleFamilyResidence,0.24,,Mlslistings,1964,140,ML82041108,2,Boulder Creek,,,3,2026-03-30,,,2026-03-30,2026-03-30,,,CA,,,True,,,,,10454.0,,False,2.0,Other,95006,,10454.0,,CRMLS,CRMLS_MLSL
SouthBay,SouthBay,"Carpet,Tile,Wood",True,,,True,4250000.0,1156433751,2026-03-31,4150000.0,Edward,Kaminsky,33.883474,-118.386277,1530 8th Street,Residential,4294.0,4250000.0,0,"eXp Realty of California, Inc",Vista Sotheby’s International Realty,,Edward Kaminsky,,,SBPANZPAT,Patrick,Panzarella,,,,1156433751,147 - Manhattan Bch Mira Costa,,Los Angeles,Closed,,True,2.0,,SingleFamilyResidence,0.1722,,SouthBay,1998,1530,SB26053710,5,Manhattan Beach,,,5,2026-03-31,,Austin,2026-01-27,2026-01-22,,,CA,,,True,2,,Two,,7503.0,1,False,2.0,Manhattan Unified,90266,0.0,7503.0,,CRMLS,CRMLS_CRM
PalmSprings,PalmSprings,,True,,,,1360000.0,1156428544,2026-03-31,1360000.0,Alejandro,Perez-Munoz,33.692785,-116.408711,48900 Paisano Road,Land,,1360000.0,0,"I Heart Real Estate, Inc.","I Heart Real Estate, Inc.",,Alejandro Perez-Munoz,,,PS50148,Alejandro,Perez-Munoz,,,,1156428544,323 - South Palm Desert,,Riverside,Closed,,,0.0,,,2.89,,PalmSprings,,48900,219145625PS,0,Palm Desert,,,,2026-03-31,,,2026-03-31,2026-03-27,,,CA,,,,,,,,125888.0,,,,,92260,,125888.0,,CRMLS,CRMLS_CDAR
Mlslistings,Mlslistings,,False,,,,,1156428315,2026-03-27,835000.0,Sergio,Ceja,36.6073509,-121.64760724,,Residential,1394.0,835000.0,0,Remax Property Experts,Town'N Country Realty,,Sergio Ceja,,,ML163441,Scott,Craig,,Monthly,,1156428315,699 - Not Defined,,Monterey,Closed,,True,2.0,,SingleFamilyResidence,0.075,,Mlslistings,1997,,ML82041066,2,Salinas,,,3,2026-03-27,,,2026-03-27,2026-03-27,,,CA,,,True,,,,,3267.0,,False,2.0,Other,93908,220.0,3267.0,,CRMLS,CRMLS_MLSL
PacificWest,PacificWest,Wood,False,,,False,605000.0,1156426995,2026-03-09,605000.0,Jon,Garcia,33.91297,-118.320566,13119 Purche,Residential,1370.0,605000.0,0,"eXp Realty of Southern Ca, Inc",eXp Realty of Greater Los Angeles,,Jon Garcia,,,PWBERJOHN,John,Bernardino Jr,,,,1156426995,114 - Hollypark,,Los Angeles,Closed,,True,2.0,,SingleFamilyResidence,0.1286,,PacificWest,1955,13119,PW26069672,2,Gardena,,,4,2026-03-09,,,2026-03-09,2026-03-09,,,CA,,,False,1,,One,,5600.0,1,False,2.0,Los Angeles Unified,90249,0.0,5600.0,,CRMLS,CRMLS_CRM
Southland,Southland,,True,,,False,840000.0,1156424224,2026-03-31,835500.0,Jonathon,Trent,34.081417,-118.327535,585 N Rossmore 412,Residential,1090.0,840000.0,0,Equity Union,Equity Union,,Jonathon Trent,,,SR159052943,Jonathon,Trent,,Monthly,,1156424224,C18 - Hancock Park-Wilshire,,Los Angeles,Closed,,False,2.0,,Condominium,0.4122,,Southland,1990,585,SR26069463,2,Los Angeles,,,2,2026-03-31,,,2026-03-02,2026-03-01,,,CA,,,True,1,,One,,17955.0,2,False,2.0,Los Angeles Unified,90004,585.0,17955.0,,CRMLS,CRMLS_CRM
