BuyerAgentAOR,ListAgentAOR,Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,MlsStatus,ElementarySchool,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,OriginatingSystemName,OriginatingSystemSubName
CitrusValley,MercedCounty,"Carpet,Laminate",True,,,False,449880.0,1154931628,2026-03-27,456000.0,Wesely,Bennett,37.344836,-120.49208,4112 Clary Court,Residential,2287.0,449880.0,6,"BMC Realty Advisors, Inc",BMC REALTY ADVISORS,,Wesely Bennett,,,CV43310,Wesley,Bennett,,,,1154931628,,,Merced,Closed,,True,2.0,Century Communities,SingleFamilyResidence,0.1069,,CitrusValley,2026,4112,MC26052530,3,Merced,,,5,2026-03-27,,,2026-03-16,2026-03-10,,,CA,,,False,2,,Two,,4658.0,1,True,2.0,Merced Union,95348,0.0,4658.0,,CRMLS,CRMLS_CRM
InlandValleys,InlandValleys,,True,,,True,550000.0,1154930569,2026-03-17,455000.0,JORGE,TALAVERA LAGOS JR,34.141473,-117.199774,2821 La Praix,Residential,2707.0,455000.0,0,SanTal Real Estate,SanTal Real Estate,SanTal Real Estate,JORGE TALAVERA LAGOS JR,DANIEL,SALINAS,IVTALAMJO,JORGE,TALAVERA LAGOS JR,,,,1154930569,276 - Highland,,San Bernardino,Closed,,True,2.0,,SingleFamilyResidence,0.3616,,InlandValleys,1969,2821,IV26052511,3,Highland,,,4,2026-03-17,,,2026-03-09,2026-02-26,,,CA,,,True,2,,Two,,15750.0,1,False,2.0,San Bernardino City Unified,92346,0.0,15750.0,,CRMLS,CRMLS_CRM
Claw,Claw,Stone,True,,,False,3595.0,1154930566,2026-03-26,3595.0,Simon A.,Lazar,34.017365,-118.405251,10601 Washington Boulevard 212,ResidentialLease,644.0,3595.0,16,Simon A. Lazar,Simon A. Lazar,,Simon A. Lazar,,,CLW-C101656,Simon A.,Lazar,,,,1154930566,C28 - Culver City,,Los Angeles,Closed,,,0.0,,Condominium,0.8913,,Claw,2018,10601,26662551,1,Culver City,,644.0,1,2026-03-26,,,2026-03-26,2026-03-10,,,CA,,,False,1,,One,,38823.0,,False,,,90232,,38823.0,,CRMLS,CRMLS_CL
OrangeCounty,OrangeCounty,,True,,,False,4495.0,1154930190,2026-03-17,4500.0,Parisa,Bayat,33.503365,-117.727546,31625 Crystal Sands,ResidentialLease,1430.0,4495.0,5,"HomeSmart, Evergreen Realty",First Team Real Estate,,Parisa Bayat,,,OCKAZEHOD,Hoda,Kazemi,,,,1154930190,LNSMT - Summit,,Orange,Closed,Moulton,False,2.0,,Townhouse,0.0649,Pacific Island Village 1 (PV1),OrangeCounty,1964,31625,OC26052456,3,Laguna Niguel,,,2,2026-03-17,,,2026-03-15,2026-03-09,,,CA,,Niguel Hills,True,1,Dana Hills,One,,2825.0,2,False,2.0,Capistrano Unified,92677,,2825.0,,CRMLS,CRMLS_CRM
OrangeCounty,OrangeCounty,,False,,,False,1600.0,1154930188,2026-03-23,1600.0,Alex,Lee,34.047134,-117.768014,1340 Grand,ResidentialLease,400.0,1600.0,11,"Capital Management Realty, Inc","Capital Management Realty, Inc",,Alex Lee,,,sleeale,Alex,Lee,,,,1154930188,687 - Pomona,,Los Angeles,Closed,,,0.0,,Duplex,0.1569,,OrangeCounty,1922,1340,OC26052508,1,Pomona,,,1,2026-03-23,,,2026-03-21,2026-03-10,,,CA,,,False,1,,One,,6834.0,1,False,0.0,Pomona Unified,91766,0.0,6834.0,,CRMLS,CRMLS_CRM
PacificWest,PacificWest,"Tile,Vinyl",,,,False,1420000.0,1154930187,2026-03-12,1410000.0,Andy,Zuppardo,33.963026,-118.299772,1344 W 83rd Place,ResidentialIncome,,1420000.0,0,Crystal View Realty,Crystal View Realty,,Andy Zuppardo,,,pwzuppand,Andy,Zuppardo,,,,1154930187,C34 - Los Angeles Southwest,,Los Angeles,Closed,,,5.0,,Duplex,0.1354,,PacificWest,2026,1344,PW26052507,,Los Angeles,,3996.0,,2026-03-12,,,2026-03-09,2026-03-09,,,CA,,,,2,,Two,,5897.0,,True,3.0,,90044,0.0,5897.0,,CRMLS,CRMLS_CRM
Mrmls,SouthBay,Wood,True,,,False,6200.0,1154929981,2026-03-23,6200.0,Thomas J.,Powers,33.773868,-118.361931,4622 Browndeer Lane,ResidentialLease,2148.0,6200.0,10,"Powers Realty, Inc.",None MRML,,Thomas J. Powers,,,NONE,NONE,NONE,,,,1154929981,175 - Peninsula Center,,Los Angeles,Closed,Soleado,True,4.0,,SingleFamilyResidence,0.2754,,Mrmls,1966,4622,SB26050705,3,Rancho Palos Verdes,,,5,2026-03-23,,,2026-03-20,2026-03-07,,,CA,,Ridgecrest,True,2,Palos Verdes,Two,,11995.0,1,False,2.0,Palos Verdes Peninsula Unified,90275,0.0,11995.0,,CRMLS,CRMLS_CRM
PismoCoast,PismoCoast,Laminate,False,,,False,849000.0,1154929864,2026-03-30,900000.0,Collette,Kutil,35.111186,-120.614583,1410 Farroll Road,Residential,1664.0,849000.0,3,Coastal Connection Real Estate,Century 21 Masters-SM,,Collette Kutil,,,pi02190774,Teresa,Field,,,,1154929864,GRVC - Grover Beach,,San Luis Obispo,Closed,,True,2.0,,SingleFamilyResidence,0.1951,Grover Beach (330),PismoCoast,1978,1410,PI26047774,3,Grover Beach,,,3,2026-03-30,,,2026-03-15,2026-02-27,,,CA,,,True,2,,Two,,8500.0,0,False,2.0,Lucia Mar Unified,93433,0.0,8500.0,,CRMLS,CRMLS_CRM
Mrmls,WestSanGabrielValley,,False,,,False,3500.0,1154928871,2026-03-22,3500.0,HSIN,HSU,33.986085,-117.588726,4806 S Apricot,ResidentialLease,2441.0,3500.0,7,Pinnacle Real Estate Group,None MRML,,HSIN HSU,,,NONE,NONE,NONE,,,,1154928871,686 - Ontario,,San Bernardino,Closed,,True,2.0,,SingleFamilyResidence,0.1187,,Mrmls,2019,4806,WS26051091,3,Ontario,,,5,2026-03-22,,,2026-03-22,2026-03-10,,,CA,,,False,2,,Two,,5171.0,1,False,2.0,Ontario-Montclair,91762,,5171.0,,CRMLS,CRMLS_CRM
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,"Tile,Wood",True,,,,11000.0,1154928800,2026-03-31,10000.0,Josie,Tong,34.048622,-118.548657,686 Enchanted Way,ResidentialLease,2794.0,11000.0,21,Sotheby's International Realty,Non-Participant Office,Sotheby's International Realty,Josie Tong,John,Tan,CLW-X99999,Subscriber,Non,,,,1154928800,C15 - Pacific Palisades,,Los Angeles,Closed,,True,4.0,,SingleFamilyResidence,0.276,,Claw,1960,686,26662251,3,Pacific Palisades,,2794.0,3,2026-03-31,,,,2026-03-10,,,CA,,,True,1,,One,115x105,12021.0,,False,2.0,,90272,,12021.0,,CRMLS,CRMLS_CL
OrangeCounty,Newport,Vinyl,True,,,False,4800.0,1154927588,2026-03-19,4800.0,Tracy,Heffelman,33.623468,-117.931089,280 Cagney 116,ResidentialLease,1136.0,4800.0,7,Coldwell Banker Realty,Coldwell Banker Realty,,Tracy Heffelman,,,OCPARKSAM,Samantha,Parkin,,,,1154927588,N6 - Newport Heights,,Orange,Closed,,True,4.0,,Condominium,0.8893,Villa Balboa (VBAL),OrangeCounty,1980,280,NP26052195,2,Newport Beach,,,2,2026-03-19,,,2026-03-17,2026-03-04,,,CA,,,True,1,,One,,38736.0,2,False,2.0,Newport Mesa Unified,92663,,38736.0,,CRMLS,CRMLS_CRM
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,"Tile,Wood",False,,,False,4150.0,1154926549,2026-03-20,4150.0,James,Muske,34.05291,-118.437889,1610 Glendon Avenue,ResidentialLease,1760.0,4150.0,10,Coldwell Banker Realty,Coldwell Banker Realty,,James Muske,,,CLW-B34564,James,Muske,,,,1154926549,C05 - Westwood - Century City,,Los Angeles,Closed,,,1.0,,SingleFamilyResidence,0.1561,,BeverlyHillsGreaterLa,1935,1610,26659263,2,Los Angeles,,1760.0,2,2026-03-20,,,2026-03-20,2026-03-06,,,CA,,,True,1,,One,,6799.0,,False,,,90024,,6799.0,,CRMLS,CRMLS_CL
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,Wood,True,,,,2500000.0,1154926058,2026-03-10,2500000.0,Nevada,Solis,34.165994,-118.446817,5235 Sylmar Avenue,Residential,3375.0,2500000.0,0,Christie's International Real Estate SoCal,Compass,Sotheby's International Realty,Nevada Solis,Vanity,Canales,CLW-C101038,Jay,Tremaine,,,,1154926058,SO - Sherman Oaks,,Los Angeles,Closed,,,4.0,,SingleFamilyResidence,0.1361,,OutOfAreaBoard,2018,5235,26635103,5,Sherman Oaks,,3375.0,5,2026-03-10,,,2026-03-10,2026-03-10,,,CA,,,True,2,,Two,48x123,5928.0,,False,2.0,,91401,,5928.0,,CRMLS,CRMLS_CL
CaliforniaDesert,CaliforniaDesert,"Tile,Vinyl",False,,,True,2295.0,1154926056,2026-03-21,2100.0,Lawrence,French,33.741258,-116.318556,42405 Iowa Street,ResidentialLease,1330.0,2295.0,0,Silvermoon Real Estate Brokers,Silvermoon Real Estate Brokers,,Lawrence French,,,CDAR-D76598,Lawrence,French,,Annually,,1154926056,324 - East Palm Desert,,Riverside,Closed,,True,3.0,,SingleFamilyResidence,0.14,Palm Desert Country,CaliforniaDesert,1961,42405,219144537DA,2,Palm Desert,,,3,2026-03-21,,,,2026-03-10,,,CA,,,False,,,,,6098.0,,False,1.0,,92211,400.0,6098.0,,CRMLS,CRMLS_CDAR
Southland,Southland,,True,,,False,3500.0,1154925601,2026-03-26,3500.0,Serdar,Dagkesen,34.209692,-118.547819,19026 Keswick,ResidentialLease,1450.0,3500.0,7,JohnHart Real Estate,JohnHart Real Estate,,Serdar Dagkesen,,,SR207061019,Serdar,Dagkesen,,,,1154925601,RES - Reseda,,Los Angeles,Closed,,,0.0,,SingleFamilyResidence,0.5003,,Southland,1938,19026,SR26052291,2,Reseda,,,2,2026-03-26,,,2026-03-24,2026-03-09,,,CA,,,True,1,,One,,21793.0,2,False,0.0,Los Angeles Unified,91335,0.0,21793.0,,CRMLS,CRMLS_CRM
,Mlslistings,,False,,,,1999000.0,1154925600,2026-03-30,2585000.0,Lina,Pan,37.53500575,-122.2825695,3992 Casanova Drive,Residential,2172.0,1999000.0,8,SALA Homes Realty & Development,,,Lina Pan,,,ML3483529,Sameen,Babar,,,,1154925600,699 - Not Defined,,San Mateo,Closed,,True,1.0,,SingleFamilyResidence,0.1148,,,1950,3992,ML82037503,3,San Mateo,,,4,2026-03-30,,Chester,2026-03-18,2026-03-10,,,CA,,,True,,,,,5000.0,,False,1.0,Other,94403,,5000.0,,CRMLS,CRMLS_MLSL
Oakland,Oakland,Wood,,,,False,1850.0,1154925095,2026-03-18,1850.0,River,Collins,37.978483,-121.30466,3243 Bonnie Lane,ResidentialLease,815.0,1850.0,8,"4 Rivers Realty, Inc.","4 Rivers Realty, Inc.",,River Collins,,,BMLS-R01312567,River,Collins,,,,1154925095,,,San Joaquin,Closed,,,0.0,,Duplex,0.1171,Other,Oakland,1944,3243,41126601,1,Stockton,,,2,2026-03-18,,,2026-03-18,2026-03-10,,,CA,,,True,1,,One,,5100.0,,False,0.0,,95204,,5100.0,,CRMLS,CRMLS_BMLS
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,,False,,,False,5200.0,1154924980,2026-03-30,5200.0,Sigal,Mevorach,34.190083,-118.522224,6542 Zelzah Ave,ResidentialLease,,5200.0,20,"Vila Estates, Inc.","Vila Estates, Inc.",,Sigal Mevorach,,,CLW-C130446,Sigal,Mevorach,,,,1154924980,RES - Reseda,,Los Angeles,Closed,,,0.0,,SingleFamilyResidence,0.141,,Claw,,6542,26662461,3,Reseda,,,4,2026-03-30,,,2026-03-30,2026-03-10,,,CA,,,False,1,,One,,6140.0,,False,,,91335,,6140.0,,CRMLS,CRMLS_CL
,SanDiego,,False,,,False,849000.0,1154924647,2026-03-27,810000.0,Alicia,Schlief,32.74465887,-117.1159934,3626 36Th St,Residential,1345.0,849000.0,5,Keller Williams San Diego Metro,Keller Williams La Jolla,,Alicia Schlief,,,810891,Matt,Harder,,,,1154924647,92104 - North Park,,San Diego,Closed,,,2.0,,SingleFamilyResidence,0.1287,North Park,,1928,3626,260005567SD,2,San Diego,,,2,2026-03-27,,,2026-03-15,2026-03-10,,,CA,,,True,1,,One,,5604.0,,False,0.0,,92104,,5604.0,,CRMLS,CRMLS_SAND
,CaliforniaDesert,Concrete,True,,,True,2650000.0,1154924645,2026-03-26,2250000.0,William,Brandt,33.762768,-116.435712,70380 Desert Cove Avenue,Residential,8990.0,2650000.0,0,Equity Union,None MRML,,William Brandt,,,NONE,NONE,NONE,,,,1154924645,321 - Rancho Mirage,,Riverside,Closed,,False,4.0,,SingleFamilyResidence,1.5,Not Applicable-1,,2003,70380,219144534DA,8,Rancho Mirage,,,5,2026-03-26,,,2026-03-10,2025-03-10,,,CA,,,True,2,,Two,,65340.0,,False,4.0,,92270,,65340.0,,CRMLS,CRMLS_CDAR
Glendale,Glendale,,True,,,False,1100000.0,1154924406,2026-03-10,1100000.0,Toma,Barseghian,34.250421,-118.272848,10025 Covert Avenue,ResidentialIncome,,1100000.0,0,"Real Brokerage Technologies, Inc","Real Brokerage Technologies, Inc",,Toma Barseghian,,,G165111364,Toma,Barseghian,,,,1154924406,659 - Sunland/Tujunga,,Los Angeles,Closed,,,4.0,,Duplex,0.3081,,Glendale,1932,10025,GD26052071,,Tujunga,,2443.0,,2026-03-10,,,2026-01-14,2025-12-23,,,CA,,,True,1,,One,,13419.0,,False,2.0,,91042,0.0,13419.0,,CRMLS,CRMLS_CRM
Newport,Newport,"Stone,Wood",True,,,False,7000.0,1154923170,2026-03-24,7000.0,Amaya,Zindler,33.833044,-117.856428,400 W Crystal View,ResidentialLease,1919.0,7000.0,9,IS Luxury of California,IS Luxury of California,IS Luxury of California,Amaya Zindler,Andrew,Ly,np41754,Andrew,Ly,,,,1154923170,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",,Orange,Closed,Fletcher,True,2.0,,SingleFamilyResidence,0.163,City of Orange,Newport,1964,400,NP26038482,2,Orange,,,4,2026-03-24,,Amaya,2026-03-19,2026-03-10,,,CA,,Cerro,True,1,Villa Park,One,,7100.0,4,False,2.0,Orange Unified,92865,0.0,7100.0,,CRMLS,CRMLS_CRM
SanDiego,SanDiego,,False,,,False,740000.0,1154921716,2026-03-09,740000.0,Katie,Herrick,32.58048273,-117.1103535,903 11Th St,Residential,1654.0,740000.0,0,Compass,Compass,,Katie Herrick,,,SAND-650936,Katie,Herrick,,,,1154921716,91932 - Imperial Beach,,San Diego,Closed,,True,9.0,,SingleFamilyResidence,0.1296,Imperial Beach,SanDiego,1970,903,260005562SD,2,Imperial Beach,,,4,2026-03-09,,,2026-03-01,2026-03-10,,,CA,,,False,1,,One,,5647.0,,False,4.0,,91932,,5647.0,,CRMLS,CRMLS_SAND
LakeCounty,LakeCounty,"Laminate,Tile,Vinyl",True,,,False,289000.0,1154920121,2026-03-27,289000.0,Shelly,Reed,38.953926,-122.735267,9290 Pawnee,Residential,1216.0,289000.0,2,W Real Estate,Century 21 Epic-Clearlake,,Shelly Reed,,,LCJSpencer,Jessica,Spencer,,Annually,,1154920121,LCCLR - Kelseyville Riviera,,Lake,Closed,,True,4.0,,SingleFamilyResidence,0.1439,,LakeCounty,1994,9290,LC26052294,2,Kelseyville,,,2,2026-03-27,,,2026-03-12,2026-03-10,,,CA,,,True,1,,One,,6270.0,2,False,2.0,Kelseyville Unified,95451,140.0,6270.0,,CRMLS,CRMLS_CRM
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,Carpet,True,,,False,7300.0,1154920118,2026-03-26,7300.0,William,Durfee,33.984645,-118.444206,13600 MARINA POINTE Drive 1005,ResidentialLease,1900.0,7300.0,16,Compass,Compass,,William Durfee,,,CLW-X53521,William,Durfee,,,,1154920118,C12 - Marina Del Rey,,Los Angeles,Closed,,,0.0,,Condominium,2.8218,,BeverlyHillsGreaterLa,1999,13600,26660603,3,Marina Del Rey,,1900.0,2,2026-03-26,,,,2026-03-10,,,CA,,,True,1,,One,,122916.0,,False,2.0,,90292,,122916.0,,CRMLS,CRMLS_CL
Mrmls,WestSanGabrielValley,,True,,,False,3200.0,1154919300,2026-03-19,3200.0,WAN-I,WU,34.047739,-117.850589,1533 Kem,ResidentialLease,1484.0,3200.0,7,Wetrust Realty,None MRML,,WAN-I WU,,,NONE,NONE,NONE,,,,1154919300,668 - Walnut,,Los Angeles,Closed,,False,2.0,,Condominium,3.0869,,Mrmls,1973,1533,WS26052302,3,Walnut,,,4,2026-03-19,,,2026-03-17,2026-03-09,,,CA,,,False,2,,Two,,134466.0,0,False,2.0,Walnut Valley Unified,91789,,134466.0,,CRMLS,CRMLS_CRM
Mlslistings,Mlslistings,"Tile,Wood",True,,,,2488000.0,1154919248,2026-03-30,2950000.0,,DeLeon Team,37.34730181,-122.0230077,1441 Firebird Way,Residential,1407.0,2488000.0,9,Deleon Realty,Intero Real Estate Services,, DeLeon Team,,,ML5064459,Dorit,Alon,,,,1154919248,699 - Not Defined,,Santa Clara,Closed,Other,True,2.0,,SingleFamilyResidence,0.144,,Mlslistings,1962,1441,ML82037895,2,Sunnyvale,,,3,2026-03-30,,,2026-03-19,2026-03-10,,,CA,,Cupertino,True,1,Fremont,,,6272.0,,False,2.0,Other,94087,,6272.0,,CRMLS,CRMLS_MLSL
CitrusValley,WestSanGabrielValley,,True,,,False,3700.0,1154919013,2026-03-23,3700.0,CHUN LOK,FOO,34.123867,-117.690026,1640 Purple Heart,ResidentialLease,1719.0,3700.0,11,eXp Realty of California Inc,ALIGN HOMES,,CHUN LOK FOO,,,C14200,Joel,Valmonte,,,,1154919013,690 - Upland,,San Bernardino,Closed,,True,2.0,,Townhouse,0.0272,,CitrusValley,2021,1640,WS26052143,3,Upland,,,3,2026-03-23,,,2026-03-21,2026-03-10,,,CA,,,False,1,,One,,1187.0,3,False,2.0,Upland,91784,,1187.0,,CRMLS,CRMLS_CRM
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,,True,,,False,2250.0,1154919011,2026-03-27,2150.0,Elizabeth,Welchman,34.100468,-118.296967,1618 N Kenmore Avenue 3,ResidentialLease,750.0,2150.0,15,Core Real Estate Group,Core Real Estate Group,,Elizabeth Welchman,,,CLW-X89415,Elizabeth,Welchman,,,,1154919011,C20 - Hollywood,,Los Angeles,Closed,,,1.0,,Condominium,0.1559,,BeverlyHillsGreaterLa,1953,1618,26662277,1,Los Angeles,,750.0,1,2026-03-27,,,2026-03-25,2026-03-10,,,CA,,,False,1,,One,50x136,6790.0,,False,,,90027,,6790.0,,CRMLS,CRMLS_CL
PacificWest,PacificWest,,True,,,True,2300000.0,1154918578,2026-03-06,2300000.0,PWRNONMEMBER,PWRNONMEMBER,33.800749,-118.079266,11152 Wembley Road,Residential,2635.0,2300000.0,0,PWNONMEMBER,Y Realty,,PWRNONMEMBER PWRNONMEMBER,,,GRIACGRA,Granger,Riach,,,,1154918578,51 - Rossmoor,,Orange,Closed,,True,2.0,,SingleFamilyResidence,0.279,Other,PacificWest,1960,11152,PW26051933,3,Rossmoor,,,3,2026-03-06,,,2026-03-06,2026-03-06,,,CA,,,True,1,,One,,12155.0,3,False,2.0,Los Alamitos Unified,90720,0.0,12155.0,,CRMLS,CRMLS_CRM
Mrmls,SanDiego,,False,,,False,949000.0,1154915897,2026-03-27,970000.0,Tony,Wright,32.83608147,-117.22330886,2868 Wyandotte Ave,Residential,900.0,949000.0,4,"Anthony Wright, Broker",Out of Area,,Tony Wright,,,OUTAREA,Out of Area,Out of Area,,,,1154915897,92117 - Clairemont Mesa,,San Diego,Closed,,,2.0,,SingleFamilyResidence,0.3398,Clairemont,Mrmls,1959,2868,260005551SD,1,San Diego,,,3,2026-03-27,,,2026-03-14,2026-03-10,,,CA,,,False,1,,One,,14800.0,,False,1.0,,92117,,14800.0,,CRMLS,CRMLS_SAND
,PasadenaFoothills,,True,,,False,1375000.0,1154915810,2026-03-10,1375000.0,Jake,Lazere,34.133218,-118.220808,2384 Norwalk Avenue,Residential,1050.0,1375000.0,0,COMPASS,Compass,COMPASS,Jake Lazere,Jennifer,Parker-Stanton,CLW-X66983,Robert,Carey,,,,1154915810,618 - Eagle Rock,,Los Angeles,Closed,,False,1.0,,SingleFamilyResidence,0.0833,,,1918,2384,P1-26178,2,Los Angeles,,,3,2026-03-10,,,2026-03-10,2026-02-24,,,CA,,,False,1,,One,,3629.0,,,1.0,,90041,,3629.0,,CRMLS,CRMLS_CRF
BayEast,ContraCosta,SeeRemarks,,,,False,529000.0,1154914652,2026-03-30,782500.0,Julie,Fiske,37.9319845,-122.062715,50 Pleasant Valley Dr,Residential,1895.0,529000.0,8,BLVD Real Estate,REALTY EXPERTS,BLVD Real Estate,Julie Fiske,Joshua,England,CCBE-206521504,Cory,Dotson,,,,1154914652,,,Contra Costa,Closed,,False,0.0,,SingleFamilyResidence,0.3903,None,BayEast,1941,50,41126577,3,Walnut Creek,,,3,2026-03-30,,,2026-03-18,2026-03-10,,,CA,,,True,1,,One,,17000.0,,False,0.0,,94597,,17000.0,,CRMLS,CRMLS_CCBE
BayEast,ContraCosta,,,,,,529000.0,1154914649,2026-03-30,782500.0,Julie,Fiske,37.932084,-122.0627,50 Pleasant Valley Dr,Land,,529000.0,8,BLVD Real Estate,REALTY EXPERTS,BLVD Real Estate,Julie Fiske,Joshua,England,CCBE-206521504,Cory,Dotson,,,,1154914649,,,Contra Costa,Closed,,,0.0,,,0.3903,None,BayEast,,50,41126578,0,Walnut Creek,,,,2026-03-30,,,2026-03-18,2026-03-10,,,CA,,,,,,,,17000.0,,,,,94597,,17000.0,,CRMLS,CRMLS_CCBE
OrangeCounty,OrangeCounty,,True,,,False,5000.0,1154914546,2026-03-23,4900.0,Lei,Zhang,33.685047,-117.673219,2 Cameron Circle,ResidentialLease,1808.0,5000.0,13,Real Broker,Real Broker,,Lei Zhang,,,OCZHANELL,Lei,Zhang,,,,1154914546,FH - Foothill Ranch,,Orange,Closed,,True,2.0,KB,SingleFamilyResidence,0.1435,California Coventry (FHCV),OrangeCounty,1995,2,OC26052208,3,Lake Forest,,,4,2026-03-23,,,2026-03-23,2026-03-10,,,CA,,,True,2,,Two,,6250.0,0,False,2.0,Saddleback Valley Unified,92610,,6250.0,,CRMLS,CRMLS_CRM
Mrmls,Downey,,False,,,False,2750.0,1154914352,2026-03-14,2750.0,Brandon,Barba,33.873351,-117.940537,328 N Roosevelt Avenue A,ResidentialLease,612.0,2750.0,4,RE/MAX Dynasty,None MRML,,Brandon Barba,,,NONE,NONE,NONE,,,,1154914352,83 - Fullerton,,Orange,Closed,,,2.0,,Duplex,0.023,Fullerton,Mrmls,2023,328,DW26052127,1,Fullerton,,,2,2026-03-14,,,2026-03-14,2026-03-10,,,CA,,,False,1,,One,,1000.0,2,True,0.0,Fullerton Joint Union High,92832,0.0,1000.0,,CRMLS,CRMLS_CRM
SanDiego,SanDiego,,False,,,False,2450.0,1154912582,2026-03-17,2450.0,Frank,Mannino,,,3031 B,ResidentialLease,650.0,2450.0,7,HomeSmart Realty West,HomeSmart Realty West,,Frank Mannino,,,SAND-626072,Frank,Mannino,,,,1154912582,92102 - San Diego,,San Diego,Closed,,,0.0,,Apartment,,San Diego,SanDiego,1953,3031,260005547SD,1,San Diego,,,2,2026-03-17,,,2026-03-17,2026-03-10,,,CA,,,False,1,,One,,,,,0.0,,92102,0.0,,,CRMLS,CRMLS_SAND
Mlslistings,Mlslistings,"Carpet,Tile,Wood",False,,,,1990000.0,1154912581,2026-03-10,2280000.0,Xiaozhu,Kang,37.26370701,-121.92820844,3395 Taper Avenue,Residential,1676.0,1990000.0,0,Coldwell Banker Realty,Intero Real Estate Services,,Xiaozhu Kang,,,ML5086049,Sam,Lee,,,,1154912581,699 - Not Defined,,Santa Clara,Closed,,True,2.0,,SingleFamilyResidence,0.1384,,Mlslistings,2000,3395,ML82034225,2,San Jose,,,4,2026-03-10,,,2026-03-10,2026-03-10,,,CA,,,True,,,,,6027.0,,False,2.0,Other,95124,,6027.0,,CRMLS,CRMLS_MLSL
PacificWest,PacificWest,,True,,,False,3200.0,1154912427,2026-03-26,3200.0,Bob,Collins,33.934902,-116.697483,12793 Cottonwood,ResidentialLease,1670.0,3200.0,16,SHM Realty,SHM Realty,,Bob Collins,,,zcollbob,Bob,Collins,,,,1154912427,699 - Not Defined,,Riverside,Closed,,True,4.0,,SingleFamilyResidence,0.23,,PacificWest,2025,12793,PW26052185,2,Whitewater,,,4,2026-03-26,,,2026-03-26,2026-03-10,,,CA,,,False,1,,One,,10019.0,4,True,2.0,Banning Unified,92282,0.0,10019.0,,CRMLS,CRMLS_CRM
PacificWest,PacificWest,,False,,,False,2800.0,1154912105,2026-03-20,2800.0,Paul,Purunjian,33.974932,-118.161381,5824 B Gage,ResidentialLease,609.0,2800.0,10,Purunjian Inc.,Purunjian Inc.,,Paul Purunjian,,,ppurupau,Paul,Purunjian,,,,1154912105,"T3 - Bell Gardens, Bell E of 710, Commerce S of 26",,Los Angeles,Closed,,,0.0,,Quadruplex,0.1264,,PacificWest,2026,5824,PW26052176,1,Bell Gardens,,,2,2026-03-20,,,2026-03-20,2026-03-10,,,CA,,,False,2,,Two,,5505.0,2,True,0.0,Montebello Unified,90201,0.0,5505.0,,CRMLS,CRMLS_CRM
Southland,TheInlandGateway,,True,,,False,650000.0,1154910385,2026-03-09,642665.0,AMY,DOUTT,34.239726,-117.267618,24540 Horst,Residential,3263.0,650000.0,0,RE/MAX LAKESIDE,Coldwell Banker Hartwig,,AMY DOUTT,,,SR150576375,Lani,Boudreaux Barretto,,,,1154910385,286 - Crestline Area,,San Bernardino,Closed,,True,5.0,,SingleFamilyResidence,0.1904,San Moritz (SAMO),Southland,1982,24540,IG26052129,4,Crestline,,,5,2026-03-09,,,2026-02-05,2026-02-04,,,CA,,,True,,,ThreeOrMore,,8293.0,0,False,2.0,Rim of the World,92325,0.0,8293.0,,CRMLS,CRMLS_CRM
